Apple	תפוח
Next	הבא
Owl	ינשוף
Ocean	אוקיינוס
Ox	שור
One	אחת
Orange	תפוז
Open	פתוח
Over	מעל
Old	ישן||מבוגר
Order	הזמנה||סדר
Offer	הצעה
Oil	שמן
Often	לעיתים קרובות
Outside	בחוץ
Oven	תנור
Object	אובייקט||להתנגד
Package	חבילה
Pen	עט
Party	מסיבה
Park	פארק
People	אנשים
Pair	זוג
Paper	נייר
Pencil	עיפרון
Pay	לשלם
Plant	צמח
Play	לשחק
Pool	בריכה
Price	מחיר
Place	מקום
Picture	תמונה
Queen	מלכה
Quiz	בוחן
Quick	מהיר
Quiet	שקט
Question	שאלה
Quarter	רבע
Quantity	כמות
Quality	איכות
Qualify	להעפיל
Quote	ציטוט
Real	אמיתי
Red	אדום
Rain	גשם
Rice	אורז
Rock	סלע||אבן
Room	חדר
Ring	טבעת
Road	רחוב
Rope	חבל
Roof	גג
Run	לרוץ||ריצה
Read	לקרוא
Reach	להגיע למשהו
Ready	מוכן
River	נהר
Sun	שמש
Star	כוכב
Ship	ספינה
Sea	ים
Sand	חול
Sock	גרב
School	בית ספר
Shoe	נעל
Shop	חנות
Sheep	כבשה
Sky	שמיים
Smile	חיוך
Stone	אבן
Stick	מקל
Street	רחוב
Tree	עץ
Toy	צעצוע
Train	רכבת
Table	שולחן
Town	עיירה
Three	שלוש
Ten	עשר
Thick	עבה
Time	זמן
Tea	תה
Tire	צמיג
Try	לנסות
Tall	גבוה
Touch	לגעת
Talk	לדבר
Umbrella	מטרייה
Uncle	דוד
Uniform	מדים
Under	מתחת
Use	להשתמש
Up	למעלה
Us	אנחנו
Until	עד
Urban	עירוני
Useful	שימושי
Ugly	מכוער
Unit	יחידה
Unknown	לא ידוע
Usual	שגרתי
Unique	ייחודי
Version	גרסה
Vast	נרחב
Vase	כד
Voice	קול
Visit	לבקר
Very	מאוד
Vote	להצביע
View	נוף||לצפות
Virtual	וירטואלי
Value	ערך
Valuable	יקר ערך
Vacation	חופשה
Village	כפר
Vehicle	כלי רכב
Victory	ניצחון
Water	מים
Wind	רוח
Wall	קיר
Wood	עץ
Week	שבוע
Weak	חלש
Walk	הליכה||ללכת
Watch	שעון יד||לצפות
Window	חלון
Work	עבודה||לעבוד
Wheel	גלגל
Warm	חמים
Wave	גל
Wait	לחכות
White	לבן
X-Ray	צילום רנטגן
Xylophone	קסילופון
Xenophobia	פוביה מזרים
Yellow	צהוב
Yes	כן
Yell	צעקה||לצעוק
Yarn	חוט
Yard	חצר
Year	שנה
Yawn	פיהוק||לפהק
Yesterday	אתמול
Young	צעיר
Yolk	חלמון ביצה
Yacht	יאכטה
Yummy	טעים
Youth	נוער
Yoga	יוגה
Zebra	זברה
Zoo	גן חיות
Zero	אפס
Zodiac	גלגל המזלות
Zigzag	זיגזג
Zone	אזור
Zoom	תקריב
Zest	התלהבות
Zinc	אבץ
Zenith	פסגה||שיא
Zipper	רוכסן
