a	אחד|אות בלתי מוגדרת
matter	להיות חשוב|עניין
happen	לקרות
cause	לגרום|סיבה
depend	להיות תלוי
exist	להתקיים
appear	להופיע
disappear	להיעלם
act	לפעול|מעשה
address	לטפל ב|כתובת
admit	להודות
affect	להשפיע
aim	לכוון|מטרה
apply	להגיש בקשה|ליישם
arrive	להגיע
avoid	להימנע
balance	לאזן|איזון
behave	להתנהג
belong	להשתייך
borrow	ללוות
breathe	לנשום
cancel	לבטל
celebrate	לחגוג
collect	לאסוף
complain	להתלונן
complete	להשלים
confirm	לאשר
consider	לשקול
contain	להכיל
divide	לחלק
enjoy	ליהנות
enter	להיכנס
escape	לברוח
guess	לנחש
imagine	לדמיין
introduce	להציג
invite	להזמין
notice	לשים לב
order	להזמין|סדר
perform	לבצע
reach	להגיע
realize	להבין פתאום
recognize	לזהות
relax	להירגע
remain	להישאר
repair	לתקן
replace	להחליף
reply	להשיב
return	לחזור|להחזיר
select	לבחור
separate	להפריד
solve	לפתור
sound	להישמע|צליל
train	לאמן|רכבת
trust	לסמוך
warn	להזהיר
worry	לדאוג
person	אדם
people	אנשים
man	גבר
woman	אישה
child	ילד
children	ילדים
boy	ילד
girl	ילדה
baby	תינוק
parent	הורה
mother	אמא
father	אבא
son	בן
daughter	בת
brother	אח
sister	אחות
family	משפחה
friend	חבר
neighbor	שכן
teacher	מורה
student	תלמיד|סטודנט
class	כיתה|שיעור
lesson	שיעור
school	בית ספר
college	מכללה
university	אוניברסיטה
course	קורס
book	ספר
notebook	מחברת
page	עמוד
chapter	פרק
story	סיפור
sentence	משפט
word	מילה
letter	אות|מכתב
voice	קול
language	שפה
english	אנגלית
hebrew	עברית
question	שאלה
problem	בעיה
solution	פתרון
mistake	טעות
example	דוגמה
idea	רעיון
point	נקודה
reason	סיבה
way	דרך
method	שיטה
goal	מטרה
level	רמה
skill	מיומנות
exercise	תרגיל
homework	שיעורי בית
exam	בחינה
grade	ציון|כיתה
mark	ציון|סימן
result	תוצאה
progress	התקדמות
success	הצלחה
failure	כישלון
effort	מאמץ
experience	ניסיון|חוויה
knowledge	ידע
memory	זיכרון
attention	תשומת לב
focus	מיקוד
confidence	ביטחון
fear	פחד
stress	לחץ
pressure	לחץ
home	בית
house	בית
room	חדר
kitchen	מטבח
bathroom	חדר אמבטיה
bedroom	חדר שינה
garden	גינה
door	דלת
window	חלון
wall	קיר
floor	רצפה
ceiling	תקרה
chair	כיסא
table	שולחן
desk	שולחן עבודה
bed	מיטה
sofa	ספה
lamp	מנורה
phone	טלפון
computer	מחשב
screen	מסך
keyboard	מקלדת
mouse	עכבר
camera	מצלמה
printer	מדפסת
internet	אינטרנט
website	אתר
message	הודעה
file	קובץ
folder	תיקייה
photo	תמונה
video	וידאו
music	מוזיקה
movie	סרט
game	משחק
news	חדשות
job	עבודה
office	משרד
company	חברה
business	עסק
manager	מנהל
worker	עובד
employee	עובד
customer	לקוח
client	לקוח
service	שירות
product	מוצר
price	מחיר
money	כסף
cash	מזומן
card	כרטיס
bank	בנק
account	חשבון
bill	חשבון לתשלום
tax	מס
salary	משכורת
meeting	פגישה
interview	ראיון
report	דוח
project	פרויקט
task	משימה
deadline	תאריך יעד
team	צוות
member	חבר צוות
market	שוק
shop	חנות
store	חנות
restaurant	מסעדה
cafe	בית קפה
hotel	מלון
airport	שדה תעופה
station	תחנה
bus	אוטובוס
car	מכונית
taxi	מונית
bike	אופניים
road	כביש
street	רחוב
city	עיר
town	עיירה
village	כפר
country	מדינה
world	עולם
area	אזור
map	מפה
direction	כיוון|הוראות דרך
left	שמאל
right	ימין
center	מרכז
side	צד
front	חזית
back	גב|אחורה
north	צפון
south	דרום
east	מזרח
west	מערב
food	אוכל
meal	ארוחה
breakfast	ארוחת בוקר
lunch	ארוחת צהריים
dinner	ארוחת ערב
bread	לחם
rice	אורז
pasta	פסטה
meat	בשר
chicken	עוף
fish	דג
egg	ביצה
cheese	גבינה
milk	חלב
water	מים
juice	מיץ
coffee	קפה
tea	תה
sugar	סוכר
salt	מלח
fruit	פרי
apple	תפוח
banana	בננה
orange	תפוז
vegetable	ירק
potato	תפוח אדמה
tomato	עגבנייה
onion	בצל
salad	סלט
soup	מרק
cake	עוגה
clothes	בגדים
shirt	חולצה
pants	מכנסיים
dress	שמלה
coat	מעיל
jacket	ז'קט
shoe	נעל
sock	גרב
hat	כובע
bag	תיק
key	מפתח
wallet	ארנק
ticket	כרטיס
passport	דרכון
medicine	תרופה
doctor	רופא
nurse	אחות רפואית
hospital	בית חולים
clinic	מרפאה
body	גוף
head	ראש
face	פנים
eye	עין
ear	אוזן
nose	אף
mouth	פה
tooth	שן
hand	יד
arm	זרוע
leg	רגל
foot	כף רגל
heart	לב
mind	מחשבה|נפש
health	בריאות
pain	כאב
cold	צינון|קר
fever	חום
time	זמן
minute	דקה
hour	שעה
day	יום
week	שבוע
month	חודש
year	שנה
morning	בוקר
afternoon	אחר הצהריים
evening	ערב
night	לילה
date	תאריך
moment	רגע
season	עונה
spring	אביב
summer	קיץ
autumn	סתיו
winter	חורף
weather	מזג אוויר
sun	שמש
rain	גשם
snow	שלג
wind	רוח
cloud	ענן
sky	שמיים
air	אוויר
fire	אש
earth	אדמה|כדור הארץ
sea	ים
river	נהר
lake	אגם
mountain	הר
tree	עץ
flower	פרח
animal	חיה
dog	כלב
cat	חתול
bird	ציפור
horse	סוס
number	מספר
one	אחד
two	שתיים
three	שלוש
four	ארבע
five	חמש
six	שש
seven	שבע
eight	שמונה
nine	תשע
ten	עשר
hundred	מאה
thousand	אלף
million	מיליון
part	חלק
piece	חתיכה
group	קבוצה
list	רשימה
line	שורה|קו
circle	מעגל
square	ריבוע
color	צבע
red	אדום
blue	כחול
green	ירוק
yellow	צהוב
black	שחור
white	לבן
brown	חום
grey	אפור
light	אור|בהיר
dark	חושך|כהה
big	גדול
large	גדול
small	קטן
little	קטן|מעט
long	ארוך
short	קצר
tall	גבוה
high	גבוה
low	נמוך
wide	רחב
narrow	צר
new	חדש
old	ישן|זקן
young	צעיר
early	מוקדם
late	מאוחר
fast	מהיר
slow	איטי
quick	מהיר
easy	קל
difficult	קשה
hard	קשה
simple	פשוט
clear	ברור
wrong	שגוי
true	נכון|אמיתי
false	לא נכון
good	טוב
bad	רע
great	מצוין
best	הכי טוב
better	טוב יותר
worse	גרוע יותר
important	חשוב
useful	שימושי
special	מיוחד
normal	רגיל
common	נפוץ
personal	אישי
private	פרטי
public	ציבורי
real	אמיתי
possible	אפשרי
impossible	בלתי אפשרי
sure	בטוח
ready	מוכן
free	חופשי|בחינם
busy	עסוק
full	מלא
closed	סגור
dirty	מלוכלך
hot	חם
warm	חמים
cool	קריר
fresh	טרי
safe	בטוח
dangerous	מסוכן
healthy	בריא
sick	חולה
happy	שמח
sad	עצוב
angry	כועס
tired	עייף
hungry	רעב
thirsty	צמא
afraid	מפחד
worried	מודאג
calm	רגוע
kind	נחמד|אדיב
nice	נחמד
friendly	ידידותי
polite	מנומס
rude	גס רוח
smart	חכם
clever	פיקח
strong	חזק
weak	חלש
rich	עשיר
poor	עני
beautiful	יפה
pretty	יפה
ugly	מכוער
interesting	מעניין
boring	משעמם
funny	מצחיק
serious	רציני
quiet	שקט
loud	רועש
soft	רך
heavy	כבד
expensive	יקר
cheap	זול
correct	נכון
incorrect	לא נכון
available	זמין
local	מקומי
national	לאומי
international	בינלאומי
online	מקוון
digital	דיגיטלי
basic	בסיסי
advanced	מתקדם
main	עיקרי
extra	נוסף
final	סופי
first	ראשון
last	אחרון
next	הבא
previous	קודם
daily	יומי
weekly	שבועי
monthly	חודשי
quickly	במהירות
slowly	לאט
carefully	בזהירות
easily	בקלות
well	טוב
badly	רע
together	ביחד
alone	לבד
almost	כמעט
maybe	אולי
probably	כנראה
really	באמת
especially	במיוחד
exactly	בדיוק
finally	לבסוף
recently	לאחרונה
soon	בקרוב
however	עם זאת
therefore	לכן
instead	במקום זאת
perhaps	אולי
enough	מספיק
rather	די|במקום
around	מסביב|בערך
across	מעבר ל
along	לאורך
toward	לכיוון
during	במהלך
within	בתוך
beyond	מעבר
including	כולל
except	מלבד
despite	למרות
according	לפי
following	הבא|בעקבות
ago	לפני
away	הרחק
forward	קדימה
apart	בנפרד
beginner	מתחיל
fluent	שוטף
correctly	בצורה נכונה
naturally	באופן טבעי
clearly	בבירור
grammar	דקדוק
vocabulary	אוצר מילים
pronunciation	הגייה
accent	מבטא
conversation	שיחה
dialogue	דיאלוג
discussion	דיון
presentation	מצגת
speech	נאום|דיבור
reading	קריאה
writing	כתיבה
speaking	דיבור
listening	הקשבה
understanding	הבנה
meaning	משמעות
translation	תרגום
definition	הגדרה
expression	ביטוי
phrase	צירוף מילים
idiom	ניב
rule	כלל
tense	זמן דקדוקי
verb	פועל
noun	שם עצם
adjective	שם תואר
adverb	תואר הפועל
preposition	מילת יחס
article	תווית|הידיעה
subject	נושא
object	מושא|חפץ
form	צורה|טופס
structure	מבנה
paragraph	פסקה
title	כותרת
topic	נושא
summary	סיכום
detail	פרט
context	הקשר
ability	יכולת
difficulty	קושי
challenge	אתגר
habit	הרגל
routine	שגרה
schedule	לוח זמנים
appointment	פגישה|תור
calendar	יומן
reminder	תזכורת
choice	בחירה
option	אפשרות
chance	הזדמנות|סיכוי
risk	סיכון
benefit	תועלת
advantage	יתרון
disadvantage	חיסרון
quality	איכות
value	ערך
purpose	מטרה
interest	עניין
culture	תרבות
society	חברה
education	חינוך
science	מדע
history	היסטוריה
art	אמנות
law	חוק
politics	פוליטיקה
economy	כלכלה
industry	תעשייה
technology	טכנולוגיה
software	תוכנה
hardware	חומרה
data	נתונים
information	מידע
system	מערכת
network	רשת
app	אפליקציה
program	תוכנית|תוכנה
password	סיסמה
username	שם משתמש
link	קישור
browser	דפדפן
profile	פרופיל
setting	הגדרה
notification	התראה
error	שגיאה
update	עדכון
version	גרסה
document	מסמך
spreadsheet	גיליון נתונים
agenda	סדר יום
notes	הערות
feedback	משוב
review	סקירה|חזרה
supplier	ספק
delivery	משלוח
invoice	חשבונית
receipt	קבלה
discount	הנחה
contract	חוזה
agreement	הסכם
policy	מדיניות
insurance	ביטוח
budget	תקציב
profit	רווח
loss	הפסד
income	הכנסה
expense	הוצאה
investment	השקעה
growth	צמיחה
sale	מכירה
purchase	רכישה
brand	מותג
advertisement	פרסומת
campaign	קמפיין
audience	קהל
traffic	תנועה|כניסות
application	בקשה|יישום
resume	קורות חיים
position	תפקיד|עמדה
career	קריירה
profession	מקצוע
training	הכשרה
certificate	תעודה
degree	תואר
qualification	הסמכה
responsibility	אחריות
requirement	דרישה
opportunity	הזדמנות
decision	החלטה
identity	זהות
relationship	מערכת יחסים
community	קהילה
government	ממשלה
department	מחלקה
authority	רשות|סמכות
regulation	תקנה
safety	בטיחות
security	אבטחה
privacy	פרטיות
permission	הרשאה
access	גישה
location	מיקום
distance	מרחק
journey	מסע
trip	נסיעה
flight	טיסה
boarding	עלייה למטוס
luggage	מטען
suitcase	מזוודה
gate	שער
platform	רציף|פלטפורמה
route	מסלול
